Comparison	Z	P.unadj	P.adj	Variable	Species
24 - 30	-2.00391637531075	0.0450790191051768	0.676185286577652	Pmax.e.s	Porites
26 - 30	-2.22159419243716	0.0263107427129636	0.394661140694454	Pmax.e.s	Porites
28 - 30	-1.09479137437105	0.273608046196582	1	Pmax.e.s	Porites
24 - 32	-2.75938644651416	0.00579100089425953	0.0868650134138929	Pmax.e.s	Porites
26 - 32	-2.97706426364057	0.00291023001636637	0.0436534502454956	Pmax.e.s	Porites
28 - 32	-1.85026144557446	0.064275876618177	0.964138149272655	Pmax.e.s	Porites
30 - 32	-0.755470071203414	0.449966983411917	1	Pmax.e.s	Porites
24 - 34	-4.22551056774791	2.38399636177548e-05	0.000357599454266322	Pmax.e.s	Porites
26 - 34	-4.44318838487431	8.86354939646877e-06	0.000132953240947032	Pmax.e.s	Porites
28 - 34	-3.3163855668082	0.000911899240085854	0.0136784886012878	Pmax.e.s	Porites
30 - 34	-2.22159419243716	0.0263107427129636	0.394661140694453	Pmax.e.s	Porites
32 - 34	-1.46612412123374	0.142614475444707	1	Pmax.e.s	Porites
24 - 26	1.32521852967116	0.185098681278517	1	Fm	Pocillopora
24 - 28	0.268884919063714	0.788018242578844	1	Fm	Pocillopora
26 - 28	-1.05633361060745	0.290815825482777	1	Fm	Pocillopora
24 - 30	-0.640202188246938	0.522041160352297	1	Fm	Pocillopora
26 - 30	-1.9654207179181	0.0493655635272316	0.740483452908474	Fm	Pocillopora
28 - 30	-0.909087107310652	0.363304147516863	1	Fm	Pocillopora
24 - 32	0.665810275776816	0.505532375970006	1	Fm	Pocillopora
26 - 32	-0.659408253894346	0.509633643296966	1	Fm	Pocillopora
28 - 32	0.396925356713102	0.69142250497498	1	Fm	Pocillopora
30 - 32	1.30601246402375	0.191548318989214	1	Fm	Pocillopora
24 - 34	1.53008322991018	0.125996128707931	1	Fm	Pocillopora
26 - 34	0.20486470023902	0.8376778353724	1	Fm	Pocillopora
28 - 34	1.26119831084647	0.207237407083936	1	Fm	Pocillopora
30 - 34	2.17028541815712	0.0299852305848511	0.449778458772767	Fm	Pocillopora
32 - 34	0.864272954133366	0.387437963855483	1	Fm	Pocillopora
24 - 26	-1.29317248732225	0.195951408967305	1	Fm	Porites
24 - 28	0.64018439966448	0.522052723715288	1	Fm	Porites
26 - 28	1.93335688698673	0.0531922484271284	0.797883726406926	Fm	Porites
24 - 30	-1.1139208554162	0.265313141481516	1	Fm	Porites
26 - 30	0.179251631906054	0.857740123791848	1	Fm	Porites
28 - 30	-1.75410525508067	0.0794124733945185	1	Fm	Porites
24 - 32	0.870650783543693	0.383944858935566	1	Fm	Porites
26 - 32	2.16382327086594	0.0304779154505539	0.457168731758308	Fm	Porites
28 - 32	0.230466383879213	0.817729382228208	1	Fm	Porites
30 - 32	1.98457163895989	0.0471921503379779	0.707882255069668	Fm	Porites
24 - 34	-0.793828655583955	0.427295188059266	1	Fm	Porites
26 - 34	0.499343831738294	0.617537181406098	1	Fm	Porites
28 - 34	-1.43401305524843	0.151568537311294	1	Fm	Porites
30 - 34	0.32009219983224	0.74889843848266	1	Fm	Porites
32 - 34	-1.66447943912765	0.0960166565957924	1	Fm	Porites
24 - 26	0.582592085615772	0.560167934508469	1	TauAv1	Pocillopora
24 - 28	1.97185013593031	0.0486267170319467	0.7294007554792	TauAv1	Pocillopora
26 - 28	1.38925805031453	0.164754295181768	1	TauAv1	Pocillopora
24 - 30	2.86174354143132	0.00421317671231955	0.0631976506847932	TauAv1	Pocillopora
26 - 30	2.27915145581555	0.0226580636363046	0.339870954544569	TauAv1	Pocillopora
28 - 30	0.889893405501015	0.373523125217574	1	TauAv1	Pocillopora
24 - 32	4.39184803002659	1.12391249151966e-05	0.000168586873727949	TauAv1	Pocillopora
26 - 32	3.80925594441082	0.000139385614318762	0.00209078421478144	TauAv1	Pocillopora
28 - 32	2.41999789409629	0.0155205969843178	0.232808954764768	TauAv1	Pocillopora
30 - 32	1.53010448859527	0.125990867395221	1	TauAv1	Pocillopora
24 - 34	3.0986216421762	0.00194423138246998	0.0291634707370497	TauAv1	Pocillopora
26 - 34	2.51602955656042	0.0118685229215967	0.178027843823951	TauAv1	Pocillopora
28 - 34	1.12677150624589	0.259839100599681	1	TauAv1	Pocillopora
30 - 34	0.236878100744874	0.812751359615928	1	TauAv1	Pocillopora
32 - 34	-1.2932263878504	0.195932771637816	1	TauAv1	Pocillopora
24 - 26	0.960356654791311	0.336875745343487	1	TauAv1	Porites
24 - 28	0.979563787887137	0.327301487257718	1	TauAv1	Porites
26 - 28	0.019207133095826	0.984675867265767	1	TauAv1	Porites
24 - 30	2.91948423056558	0.0035061113269956	0.0525916699049339	TauAv1	Porites
26 - 30	1.95912757577427	0.0500978481068062	0.751467721602093	TauAv1	Porites
28 - 30	1.93992044267845	0.0523893592552389	0.785840388828583	TauAv1	Porites
24 - 32	3.17557933850993	0.00149537623801084	0.0224306435701625	TauAv1	Porites
26 - 32	2.21522268371862	0.0267447836476643	0.401171754714964	TauAv1	Porites
28 - 32	2.1960155506228	0.0280908303565395	0.421362455348092	TauAv1	Porites
30 - 32	0.256095107944349	0.797877399354371	1	TauAv1	Porites
24 - 34	2.37528212618384	0.0175355413331294	0.263033119996941	TauAv1	Porites
26 - 34	1.41492547139253	0.15709034889661	1	TauAv1	Porites
28 - 34	1.3957183382967	0.162799329790257	1	TauAv1	Porites
30 - 34	-0.544202104381743	0.586302403880951	1	TauAv1	Porites
32 - 34	-0.800297212326092	0.423538617839176	1	TauAv1	Porites
