Tube.ID,Tube lable ,Date,Location,colony_id,Species,Fixative,Goal,Process,TREATMENT,Note,Slury.vol.ml,,
99,50,20261102,Samara,POC_10,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,5,,
100,50,20261102,Samara,POC_10,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,5,,
101,51,20261102,Samara,POR_11,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
102,51,20261102,Samara,POR_11,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
103,52,20261102,Samara,POR_12,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
104,52,20261102,Samara,POR_12,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
105,53,20261102,Samara,POR_13,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
106,53,20261102,Samara,POR_13,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
107,54,20261102,Samara,POR_14,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
108,54,20261102,Samara,POR_14,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
109,55,20261102,Samara,POR_15,Porites lobata,-20,Physiology,Air brush,,Ambient,4,Found a litofago inside ,
110,55,20261102,Samara,POR_15,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
111,56,20261102,Samara,POR_16,Porites lobata,-20,Physiology,Air brush,,Ambient,4,DI ,
112,56,20261102,Samara,POR_16,Porites lobata,-20,Physiology,Air brush,,Ambient,4,DI ,
113,57,20261102,Samara,POR_17,Porites lobata,-20,Physiology,Air brush,,Ambient,5,,
114,57,20261102,Samara,POR_17,Porites lobata,-20,Physiology,Air brush,,Ambient,5,,
115,58,20261102,Samara,POR_18,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
116,58,20261102,Samara,POR_18,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
117,59,20261102,Samara,POR_19,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
118,59,20261102,Samara,POR_19,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
119,60,20261102,Samara,POR_20,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
120,60,20261102,Samara,POR_20,Porites lobata,-20,Physiology,Air brush,,Ambient,4,,
121,61,20261202,Samara,POC_1,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
