,...1,Species,Colony,Site,Temp,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
35,35,Porites,POR_34,Papagayo,28,20260216.04,2/16/2026,47358,578,-0.3,23.9,16.21,210.3,350.3,140,0.4,318.9,0.29,0.68,367,0.13,2324,0.19,192648,--------,-------,671,38093,300,392.6,425.3,32.7,0.077,165.1,0.1,0.194,404,0.79,16801,0.016,16817,--------,-------,13571,13623,73.7
36,36,Poccilopora,POC_24,Papagayo,28,20260216.04,2/16/2026,47386,452.5,-0.2,24,16.2,111.9,186.9,75,0.401,261.3,0.33,0.64,419,0.12,2729,0.24,121469,--------,-------,789,30034,600,219.9,239,19.1,0.08,162.5,0.12,0.183,662,0.014,15750,0.803,15795,--------,-------,12983,13022,77
37,37,Poccilopora,POC_25,Papagayo,28,20260216.04,2/16/2026,47424,442.9,-0.3,24,16.19,167,265.6,98.6,0.371,284.4,0.23,0.58,364,0.18,1880,0.24,136915,--------,-------,719,33933,400,285.3,307.5,22.2,0.072,154.5,0.19,0.147,586,0.012,16770,0.841,16932,--------,-------,14503,14531,69
38,38,Poccilopora,POC_26,Papagayo,28,20260216.04,2/16/2026,47456,385.4,-0.3,23.9,16.18,184.2,314.6,130.4,0.414,343.8,0.26,0.64,363,0.16,2467,0.2,147302,--------,-------,793,29455,400,347.8,378.2,30.3,0.08,169.1,0.14,0.162,586,0.824,16980,0.014,16994,--------,-------,14292,14330,70
39,39,Poccilopora,POC_28,Papagayo,28,20260216.04,2/16/2026,47484,627.5,-0.3,24,16.16,164.4,269.7,105.3,0.39,293.5,0.23,0.64,368,0.15,2485,0.21,175744,--------,-------,776,36981,400,329.7,344.6,14.9,0.043,167.6,0,0.192,213,0.799,16110,0.009,37502,--------,-------,13033,13264,76.7
40,40,Poccilopora,POC_27,Papagayo,28,20260216.04,2/16/2026,47513,391.9,-0.3,24,16.16,148.9,251.4,102.5,0.408,306.8,0.29,0.63,374,0.14,2372,0.23,124694,--------,-------,730,29236,500,270.5,296.6,26.1,0.088,174.4,0.16,0.206,567,0.014,16203,0.779,16248,--------,-------,12967,13013,77.1
41,41,Porites,POR_38,Papagayo,30,20260216.04,2/16/2026,50852,450.3,-0.3,24,16.16,322.2,546.9,224.6,0.411,364.6,0.22,0.6,382,0.18,1633,0.23,97044,--------,-------,671,22400,0,545.4,600.6,55.2,0.092,178.1,0.07,0.22,474,0.029,15509,0.751,15518,--------,-------,12104,12204,82.6
42,42,Porites,POR_35,Papagayo,30,20260216.04,2/16/2026,50913,417.9,-0.3,24.1,16.14,255.1,468.5,213.4,0.456,321.7,0.18,0.6,399,0.2,2754,0.19,90838,--------,-------,991,18325,200,440.2,481.6,41.4,0.086,191.4,0.19,0.257,701,0.014,13991,0.729,14044,--------,-------,10570,10619,94.6
43,43,Porites,POR_34,Papagayo,30,20260216.04,2/16/2026,50953,757.7,-0.3,24.1,16.12,210.5,363.3,152.8,0.421,301,0.28,0.64,365,0.14,2878,0.21,139413,--------,-------,823,30123,300,382.5,408.3,25.8,0.063,202.7,0,0.142,582,0.814,14595,0.043,17926,--------,-------,12510,12746,79.9
44,44,Porites,POR_36,Papagayo,30,20260216.04,2/16/2026,50992,517.7,-0.3,24.1,16.11,200.6,331.2,130.6,0.394,283.7,0.26,0.58,337,0.21,1917,0.21,127676,--------,-------,759,27536,300,332.3,362.5,30.3,0.083,177.9,0.17,0.201,527,0.784,14353,0.015,14361,--------,-------,11532,11574,86.7
45,45,Porites,POR_39,Papagayo,30,20260216.05,2/16/2026,51027,482.7,-0.3,24.1,16.1,274.8,455.8,181,0.397,352.2,0.24,0.58,336,0.21,2150,0.2,145250,--------,-------,818,30342,200,454.3,495.7,41.4,0.084,188.8,0.13,0.212,481,0.772,14955,0.017,15014,--------,-------,11837,11890,84.5
46,46,Poccilopora,POC_26,Papagayo,30,20260216.05,2/16/2026,51078,393.5,-0.3,24.1,16.09,183.6,312.6,129,0.413,315.3,0.23,0.63,338,0.15,1738,0.21,117418,--------,-------,613,25603,400,318.1,349.6,31.5,0.09,178.7,0.22,0.219,621,0.765,16466,0.016,16483,--------,-------,12944,13001,77.3
47,47,Poccilopora,POC_24,Papagayo,30,20260216.05,2/16/2026,51107,486,-0.3,24.1,16.08,226.4,374.4,148,0.395,306.1,0.23,0.55,392,0.21,2167,0.24,129559,--------,-------,873,32098,300,389.9,413.7,23.8,0.058,167.4,0.18,0.136,567,0.854,14635,0.01,14643,--------,-------,12706,12726,78.7
48,48,Poccilopora,POC_25,Papagayo,30,20260216.05,2/16/2026,51143,431.6,-0.3,24.1,16.08,156.2,263.9,107.7,0.408,293.1,0.3,0.65,345,0.13,2452,0.22,124516,--------,-------,706,27815,400,274.3,299.2,24.9,0.083,177.6,0.24,0.172,779,0.813,17116,0.016,17151,--------,-------,14267,14312,70.1
49,49,Poccilopora,POC_28,Papagayo,30,20260216.05,2/16/2026,51192,393.9,-0.3,24.2,16.05,188.5,314.2,125.7,0.4,332.8,0.21,0.62,361,0.16,2245,0.22,129883,--------,-------,743,29117,400,321.8,354.4,32.6,0.092,181.7,0.05,0.23,665,0.02,15982,0.749,16007,--------,-------,12397,12471,80.7
50,50,Poccilopora,POC_27,Papagayo,30,20260216.05,2/16/2026,51229,588.6,-0.3,24.1,16.06,172.5,289.7,117.3,0.405,285.4,0.29,0.65,387,0.12,2763,0.24,117847,--------,-------,752,28345,400,310.5,330.9,20.4,0.062,182.9,0,0.166,655,0.814,15068,0.02,18448,--------,-------,12619,12736,79.2
51,51,Porites,POR_38,Papagayo,32,20260216.05,2/16/2026,54915,497.2,-0.3,24,16.06,243.6,428.5,184.8,0.431,352.7,0.22,0.66,410,0.13,2691,0.21,89788,--------,-------,792,19516,0,420.9,464.5,43.6,0.094,187.8,0.14,0.238,339,0.734,15249,0.028,15273,--------,-------,11603,11706,86.2
52,52,Porites,POR_34,Papagayo,32,20260216.05,2/16/2026,54967,588.7,-0.3,24,16.05,206.9,360.8,153.9,0.427,341.8,0.27,0.62,301,0.16,2098,0.21,96377,--------,-------,674,21026,300,357.2,392.1,34.9,0.089,193.4,0.13,0.242,418,0.743,13781,0.016,13790,--------,-------,10501,10553,95.2
53,53,Porites,POR_35,Papagayo,32,20260216.05,2/16/2026,54998,471.7,-0.3,24,16.04,195.2,342.5,147.3,0.43,291.7,0.27,0.59,402,0.2,3112,0.21,120223,--------,-------,1077,25880,300,308.7,343.1,34.4,0.1,195.3,0.18,0.304,702,0.022,12867,0.674,12941,--------,-------,9139,9220,109.4
54,54,Porites,POR_36,Papagayo,32,20260216.05,2/16/2026,55039,588.5,-0.3,23.9,16,175.9,295.6,119.7,0.405,298.8,0.26,0.65,361,0.13,2157,0.22,134445,--------,-------,660,29450,400,340.6,365.6,25,0.068,199.2,0,0.202,462,0.766,15123,0.032,15843,--------,-------,12065,12186,82.9
55,55,Porites,POR_39,Papagayo,32,20260216.06,2/16/2026,55096,425.2,-0.3,24,15.99,289.3,480,190.7,0.397,388.4,0.25,0.6,354,0.19,2829,0.21,119657,--------,-------,946,25703,200,458.2,504.5,46.4,0.092,207.5,0,0.262,616,0.723,13166,0.015,13197,--------,-------,9827,9878,101.8
