MiniDOT Logger Concatenated Data File
Sensor:             7530-479402
Concatenation Date: 2026Feb10 14:52:20 CST


            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1719823680,           2024-07-01 08:48:00,           2024-07-01 02:48:00,      3.520000,     27.918000,    130.700000,     1203.000000,      -32.000000,      384.000000
                1719824280,           2024-07-01 08:58:00,           2024-07-01 02:58:00,      3.520000,     27.927000,    128.800000,     1238.000000,       12.000000,      248.000000
                1719824880,           2024-07-01 09:08:00,           2024-07-01 03:08:00,      3.520000,     27.943000,    129.400000,     1206.000000,      -40.000000,      390.000000
                1719825480,           2024-07-01 09:18:00,           2024-07-01 03:18:00,      3.520000,     27.959000,    127.500000,     1238.000000,       -8.000000,      248.000000
                1719826080,           2024-07-01 09:28:00,           2024-07-01 03:28:00,      3.520000,     27.959000,    126.900000,     1238.000000,        3.000000,      236.000000
                1719826680,           2024-07-01 09:38:00,           2024-07-01 03:38:00,      3.520000,     27.976000,    122.500000,     1240.000000,      -40.000000,      220.000000
                1719827280,           2024-07-01 09:48:00,           2024-07-01 03:48:00,      3.520000,     27.976000,    119.900000,     1240.000000,      -52.000000,      237.000000
                1719827880,           2024-07-01 09:58:00,           2024-07-01 03:58:00,      3.520000,     27.984000,    116.900000,     1203.000000,      -20.000000,      387.000000
                1719828480,           2024-07-01 10:08:00,           2024-07-01 04:08:00,      3.520000,     27.984000,    120.900000,     1200.000000,        0.000000,      396.000000
                1719829080,           2024-07-01 10:18:00,           2024-07-01 04:18:00,      3.520000,     28.000000,    122.800000,     1206.000000,      -64.000000,      364.000000
                1719829680,           2024-07-01 10:28:00,           2024-07-01 04:28:00,      3.520000,     28.025000,    120.300000,     1204.000000,      -58.000000,      391.000000
                1719830280,           2024-07-01 10:38:00,           2024-07-01 04:38:00,      3.520000,     28.058000,    118.700000,     1240.000000,      -32.000000,      236.000000
                1719830880,           2024-07-01 10:48:00,           2024-07-01 04:48:00,      3.520000,     28.099000,    119.700000,     1240.000000,      -46.000000,      242.000000
                1719831480,           2024-07-01 10:58:00,           2024-07-01 04:58:00,      3.520000,     28.115000,    120.300000,     1240.000000,      -40.000000,      220.000000
                1719832080,           2024-07-01 11:08:00,           2024-07-01 05:08:00,      3.520000,     28.115000,    129.700000,     1240.000000,      -32.000000,      232.000000
                1719832680,           2024-07-01 11:18:00,           2024-07-01 05:18:00,      3.520000,     28.140000,    130.000000,     1240.000000,      -60.000000,      232.000000
                1719833280,           2024-07-01 11:28:00,           2024-07-01 05:28:00,      3.520000,     28.165000,    121.500000,     1244.000000,      -32.000000,      212.000000
                1719833880,           2024-07-01 11:38:00,           2024-07-01 05:38:00,      3.520000,     28.181000,     85.000000,     1240.000000,      -52.000000,      240.000000
                1719834480,           2024-07-01 11:48:00,           2024-07-01 05:48:00,      3.520000,     28.214000,    115.000000,     1240.000000,      -50.000000,      218.000000
                1719835080,           2024-07-01 11:58:00,           2024-07-01 05:58:00,      3.520000,     28.222000,    118.100000,     1238.000000,      -24.000000,      232.000000
                1719835680,           2024-07-01 12:08:00,           2024-07-01 06:08:00,      3.520000,     28.230000,     88.000000,     1240.000000,      -30.000000,      215.000000
                1719836280,           2024-07-01 12:18:00,           2024-07-01 06:18:00,      3.520000,     28.247000,    101.500000,     1238.000000,      -32.000000,      240.000000
                1719836880,           2024-07-01 12:28:00,           2024-07-01 06:28:00,      3.520000,     28.320000,    104.500000,     1238.000000,      -24.000000,      240.000000
                1719837480,           2024-07-01 12:38:00,           2024-07-01 06:38:00,      3.520000,     28.370000,     99.400000,     1240.000000,      -45.000000,      240.000000
                1719838080,           2024-07-01 12:48:00,           2024-07-01 06:48:00,      3.520000,     28.402000,     91.900000,     1238.000000,      -52.000000,      256.000000
                1719838680,           2024-07-01 12:58:00,           2024-07-01 06:58:00,      3.520000,     28.443000,     99.000000,     1236.000000,      -24.000000,      262.000000
                1719839280,           2024-07-01 13:08:00,           2024-07-01 07:08:00,      3.520000,     28.452000,     86.200000,     1235.000000,      -28.000000,      272.000000
                1719839880,           2024-07-01 13:18:00,           2024-07-01 07:18:00,      3.520000,     28.468000,     64.900000,     1233.000000,       16.000000,      280.000000
                1719840480,           2024-07-01 13:28:00,           2024-07-01 07:28:00,      3.520000,     28.476000,     62.700000,     1236.000000,      -32.000000,      243.000000
                1719841080,           2024-07-01 13:38:00,           2024-07-01 07:38:00,      3.520000,     28.484000,     57.500000,     1232.000000,      -72.000000,      288.000000
                1719841680,           2024-07-01 13:48:00,           2024-07-01 07:48:00,      3.520000,     28.501000,     57.000000,     1236.000000,      -52.000000,      256.000000
                1719842280,           2024-07-01 13:58:00,           2024-07-01 07:58:00,      3.520000,     28.542000,     46.700000,     1232.000000,        0.000000,      312.000000
                1719842880,           2024-07-01 14:08:00,           2024-07-01 08:08:00,      3.520000,     28.542000,     41.300000,     1233.000000,      -26.000000,      274.000000
                1719843480,           2024-07-01 14:18:00,           2024-07-01 08:18:00,      3.520000,     28.542000,     41.000000,     1235.000000,      -80.000000,      296.000000
                1719844080,           2024-07-01 14:28:00,           2024-07-01 08:28:00,      3.520000,     28.550000,     34.900000,     1238.000000,      -55.000000,      256.000000
                1719844680,           2024-07-01 14:38:00,           2024-07-01 08:38:00,      3.520000,     28.533000,     32.000000,     1233.000000,      -32.000000,      268.000000
                1719845280,           2024-07-01 14:48:00,           2024-07-01 08:48:00,      3.520000,     28.525000,     26.900000,     1240.000000,      -32.000000,      258.000000
                1719845880,           2024-07-01 14:58:00,           2024-07-01 08:58:00,      3.520000,     28.501000,     13.100000,     1232.000000,        8.000000,      272.000000
                1719846480,           2024-07-01 15:08:00,           2024-07-01 09:08:00,      3.520000,     28.476000,     11.300000,     1235.000000,      -24.000000,      264.000000
                1719847080,           2024-07-01 15:18:00,           2024-07-01 09:18:00,      3.520000,     28.476000,     12.800000,     1235.000000,      -48.000000,      280.000000
                1719847680,           2024-07-01 15:28:00,           2024-07-01 09:28:00,      3.520000,     28.460000,     14.800000,     1235.000000,      -40.000000,      256.000000
                1719848280,           2024-07-01 15:38:00,           2024-07-01 09:38:00,      3.520000,     28.452000,     12.700000,     1235.000000,      -16.000000,      268.000000
                1719848880,           2024-07-01 15:48:00,           2024-07-01 09:48:00,      3.520000,     28.460000,      9.600000,     1240.000000,      -47.000000,      256.000000
                1719849480,           2024-07-01 15:58:00,           2024-07-01 09:58:00,      3.520000,     28.468000,      9.300000,     1238.000000,      -48.000000,      248.000000
                1719850080,           2024-07-01 16:08:00,           2024-07-01 10:08:00,      3.520000,     28.476000,      5.300000,     1236.000000,      -31.000000,      256.000000
