Comparison	Z	P.unadj	P.adj	Variable	Species
22 - 26	-0.588050526185912	0.556498379312323	1	fv_fm	Poccilopora
24 - 26	0.453217435966339	0.650392178393805	1	fv_fm	Poccilopora
25 - 26	1.65581419674831	0.0977594518773535	1	fv_fm	Poccilopora
22 - 28	-1.08816826340944	0.276520832433604	1	fv_fm	Poccilopora
24 - 28	0.0448730134620137	0.964208527307551	1	fv_fm	Poccilopora
25 - 28	1.24746977424398	0.212225296386647	1	fv_fm	Poccilopora
26 - 28	-0.500117737223532	0.616992177504141	1	fv_fm	Poccilopora
22 - 30	-1.13213465789063	0.257577825989434	1	fv_fm	Poccilopora
24 - 30	0.00897460269240288	0.992839399195822	1	fv_fm	Poccilopora
25 - 30	1.21157136347437	0.225676501916821	1	fv_fm	Poccilopora
26 - 30	-0.544084131704721	0.586383579571711	1	fv_fm	Poccilopora
28 - 30	-0.0439663944811895	0.964931191270577	1	fv_fm	Poccilopora
22 - 32	0.208840373785651	0.834572852465447	1	fv_fm	Poccilopora
24 - 32	1.10387613116554	0.269646874177217	1	fv_fm	Poccilopora
25 - 32	2.30647289194751	0.021084223138212	0.590358247869936	fv_fm	Poccilopora
26 - 32	0.796890899971562	0.425514396391028	1	fv_fm	Poccilopora
28 - 32	1.29700863719509	0.194628214972689	1	fv_fm	Poccilopora
30 - 32	1.34097503167628	0.179928559315135	1	fv_fm	Poccilopora
22 - 34	1.01672287237751	0.309285281821579	1	fv_fm	Poccilopora
24 - 34	1.76350942905714	0.0778146084013945	1	fv_fm	Poccilopora
25 - 34	2.96610618983911	0.0030159633539633	0.0844469739109725	fv_fm	Poccilopora
26 - 34	1.60477339856342	0.108543682205786	1	fv_fm	Poccilopora
28 - 34	2.10489113578695	0.0353007854816342	0.988421993485758	fv_fm	Poccilopora
30 - 34	2.14885753026814	0.0316456952919235	0.886079468173857	fv_fm	Poccilopora
32 - 34	0.80788249859186	0.41915822720922	1	fv_fm	Poccilopora
22 - 24	3.03230094226218	0.0024269710917876	0.0679551905700529	Sigma	Porites
22 - 25	4.1268000989367	3.67845881782998e-05	0.00102996846899239	Sigma	Porites
24 - 25	0.947864074100776	0.343198656282771	1	Sigma	Porites
22 - 26	3.63138833315316	0.000281900629327679	0.007893217621175	Sigma	Porites
24 - 26	-0.067284784221794	0.94635498986854	1	Sigma	Porites
25 - 26	-1.16178394089631	0.24532323883097	1	Sigma	Porites
22 - 28	3.32923045369261	0.000870863137047615	0.0243841678373332	Sigma	Porites
24 - 28	-0.313995659701705	0.753524335242609	1	Sigma	Porites
25 - 28	-1.40849481637622	0.158984600815603	1	Sigma	Porites
26 - 28	-0.30215787946055	0.762531711690229	1	Sigma	Porites
22 - 30	1.20313773821565	0.228923023756841	1	Sigma	Porites
24 - 30	-2.04994309262399	0.0403699843868349	1	Sigma	Porites
25 - 30	-3.14444224929851	0.00166403751926925	0.046593050539539	Sigma	Porites
26 - 30	-2.42825059493752	0.0151718561297098	0.424811971631873	Sigma	Porites
28 - 30	-2.12609271547696	0.033495540359489	0.937875130065691	Sigma	Porites
22 - 32	1.74702192124464	0.08063353567651	1	Sigma	Porites
24 - 32	-1.60586351676015	0.108303901097852	1	Sigma	Porites
25 - 32	-2.70036267343467	0.0069263925134499	0.193938990376597	Sigma	Porites
26 - 32	-1.88436641190852	0.0595154298612239	1	Sigma	Porites
28 - 32	-1.58220853244797	0.113601973172849	1	Sigma	Porites
30 - 32	0.543884183028991	0.586521173937274	1	Sigma	Porites
22 - 34	2.54911374672173	0.0107997069402123	0.302391794325945	Sigma	Porites
24 - 34	-0.950958283668022	0.34162555297428	1	Sigma	Porites
25 - 34	-2.04545744034254	0.0408097809809038	1	Sigma	Porites
26 - 34	-1.08227458643143	0.279130534885123	1	Sigma	Porites
28 - 34	-0.780116706970876	0.435322183401145	1	Sigma	Porites
30 - 34	1.34597600850609	0.178310253985454	1	Sigma	Porites
32 - 34	0.802091825477097	0.422499843233485	1	Sigma	Porites
22 - 24	1.09450873180066	0.273731919881436	1	Sigma	Poccilopora
22 - 25	3.08615576835596	0.00202762570512113	0.0567735197433916	Sigma	Poccilopora
24 - 25	1.72481692902889	0.0845604698885866	1	Sigma	Poccilopora
22 - 26	2.42827183826659	0.0151709674111732	0.424787087512849	Sigma	Poccilopora
24 - 26	0.888166921707094	0.374450969050872	1	Sigma	Poccilopora
25 - 26	-1.10348011484821	0.26981872234903	1	Sigma	Poccilopora
22 - 28	0.86802477476498	0.385380770104896	1	Sigma	Poccilopora
24 - 28	-0.385769471044495	0.699667407042095	1	Sigma	Poccilopora
25 - 28	-2.3774165075998	0.0174343894035085	0.488162903298239	Sigma	Poccilopora
26 - 28	-1.56024706350161	0.118701507729908	1	Sigma	Poccilopora
22 - 30	0.225246935223824	0.821787178423796	1	Sigma	Poccilopora
