Species	Temp	n	statistic	p_value	Variable
Poccilopora	32	10	0.869323681532582	0.098166516802106	TauAv1
Poccilopora	34	10	0.699049781444757	0.000857869328008358	TauAv1
Porites	22	10	0.967151413289713	0.863250860012843	TauAv1
Porites	24	5	0.904106543536142	0.432996952140345	TauAv1
Porites	25	5	0.898567359455672	0.40201805106949	TauAv1
Porites	26	10	0.970611989713502	0.896460774327753	TauAv1
Porites	28	10	0.935974233013174	0.50914629084305	TauAv1
Porites	30	10	0.641781055230169	0.000174830831716955	TauAv1
Porites	32	10	0.946815029910361	0.630998104932485	TauAv1
Porites	34	10	0.961429818388755	0.802046252604163	TauAv1
